,Hace 3 dias,Hace 4 dias,Hace 6 dias,Hace 8 dias,Hace 9 dias,Hace 11 dias,Hace 12 dias,Hace 14 dias,Hace 16 dias,Hace 17 dias,Hace 19 dias,Hace 20 dias,Hace 22 dias,Hace 24 dias,Hace 25 dias,Hace 27 dias,Hace 28 dias,Hace 30 dias,Hace 32 dias,Hace 33 dias,Hace 35 dias,Hace 36 dias,y
656,2.959,2.9535555555555555,2.9436,2.9362857142857144,2.9335833333333334,2.9298000000000006,2.9284242424242426,2.9261538461538468,2.9244444444444446,2.92375,2.9227777777777777,2.9224912280701756,2.922126984126985,2.9215362318840588,2.9211666666666676,2.920410256410257,2.920123456790124,2.9196551724137936,2.919247311827957,2.9190625,2.918725490196078,2.9185714285714277,2.975333333333333
657,2.966666666666667,2.962666666666667,2.9525333333333337,2.944,2.9405,2.9353333333333333,2.933454545454546,2.930512820512821,2.9282222222222223,2.9272916666666666,2.925777777777778,2.9252631578947366,2.924571428571429,2.9239710144927544,2.923555555555556,2.922666666666667,2.9222469135802474,2.9216091954023,2.9210752688172046,2.9208333333333334,2.9203921568627447,2.9201904761904762,2.977333333333333
658,2.972666666666666,2.9695555555555555,2.9612,2.9519047619047614,2.9479166666666665,2.9414,2.9389696969696972,2.9352307692307695,2.9323555555555556,2.9311666666666665,2.929185185185185,2.9283859649122808,2.9272698412698412,2.9265217391304357,2.926111111111112,2.925128205128206,2.924617283950618,2.9237471264367825,2.923075268817205,2.9227708333333338,2.9222156862745097,2.9219619047619045,2.977333333333333
659,2.976333333333333,2.9742222222222217,2.9681333333333333,2.9593333333333334,2.955083333333333,2.9476666666666667,2.944666666666666,2.9400512820512827,2.9366222222222222,2.935166666666667,2.9327407407407406,2.931719298245614,2.930126984126984,2.929072463768116,2.9286388888888895,2.9276153846153856,2.9270617283950626,2.9259770114942536,2.9251397849462375,2.924770833333334,2.9240980392156866,2.9237904761904763,2.9786666666666664
660,2.977333333333333,2.9766666666666666,2.9726666666666666,2.9658095238095235,2.9615833333333335,2.9538,2.9503636363636363,2.944871794871795,2.9408444444444446,2.939166666666667,2.9362962962962964,2.9350877192982456,2.933047619047619,2.9316231884057973,2.9310833333333335,2.930051282051283,2.929456790123458,2.928252873563219,2.9272043010752693,2.926770833333334,2.925980392156863,2.925619047619048,2.9806666666666666
661,2.9779999999999998,2.977777777777778,2.975733333333333,2.970952380952381,2.9674166666666664,2.9596666666666662,2.956060606060606,2.9497948717948717,2.9451111111111117,2.9432083333333336,2.9399259259259263,2.9385263157894737,2.936126984126984,2.9342898550724636,2.9335833333333334,2.9324358974358984,2.9318518518518526,2.930574712643679,2.929333333333334,2.9288125000000007,2.9279019607843146,2.927485714285715,2.9833333333333334
662,2.9796666666666667,2.9788888888888887,2.9778666666666664,2.974666666666667,2.972166666666667,2.9652000000000003,2.961575757575757,2.954871794871795,2.9495111111111116,2.947333333333334,2.943666666666667,2.9420701754385967,2.9393333333333334,2.937101449275362,2.936222222222222,2.934820512820513,2.934222222222223,2.9329195402298858,2.931569892473119,2.9309375000000006,2.9298823529411773,2.9294095238095244,2.9886666666666666
663,2.982,2.9808888888888894,2.9794666666666663,2.9775238095238095,2.97575,2.9703333333333335,2.966848484848485,2.960051282051282,2.9540888888888888,2.9516250000000004,2.947518518518519,2.9457543859649125,2.9426666666666668,2.940115942028986,2.9390277777777776,2.9373076923076926,2.9366172839506173,2.9353103448275872,2.9338924731182803,2.9331875000000007,2.931941176470589,2.9314095238095246,2.9959999999999996
664,2.9859999999999998,2.9842222222222223,2.981733333333333,2.980190476190476,2.9789166666666667,2.9749333333333334,2.972,2.965333333333333,2.9590222222222224,2.95625,2.9516296296296303,2.949684210526316,2.9462539682539686,2.9433913043478257,2.942138888888889,2.9400512820512814,2.93920987654321,2.9377931034482763,2.936344086021506,2.9356041666666672,2.934176470588236,2.933561904761905,3.0026666666666664
665,2.992333333333333,2.989333333333333,2.9854666666666665,2.9831428571428567,2.982166666666666,2.9790666666666668,2.976848484848485,2.970769230769231,2.9643555555555556,2.9613333333333336,2.9561481481481486,2.953964912280702,2.9501904761904765,2.9469855072463766,2.945583333333333,2.9431282051282044,2.9421234567901227,2.940459770114942,2.938989247311828,2.9382083333333338,2.936666666666667,2.9359428571428574,3.008
